t,roll,pitch
0.002226,0.000086,0.001083
0.004206,0.000152,0.002160
0.006211,0.000229,0.003259
0.008193,0.000252,0.004325
0.010197,0.000277,0.005410
0.012209,0.000328,0.006481
0.014210,0.000367,0.007540
0.016219,0.000402,0.008620
0.018195,0.000404,0.009632
0.020200,0.000430,0.010713
0.022207,0.000452,0.011781
0.024204,0.000492,0.012814
0.026208,0.000482,0.013857
0.028199,0.000530,0.014922
0.030209,0.000595,0.015956
0.032207,0.000606,0.017018
0.034204,0.000672,0.018084
0.036207,0.000715,0.019148
0.038206,0.000724,0.020181
0.040220,0.000770,0.021258
0.042219,0.000788,0.022271
0.044200,0.000824,0.023316
0.046218,0.000874,0.024422
0.048206,0.000909,0.025410
0.050213,0.000922,0.026402
0.052212,0.000950,0.027439
0.054210,0.000987,0.028453
0.056202,0.001047,0.029450
0.058206,0.001082,0.030445
0.060200,0.001115,0.031464
0.062202,0.001182,0.032469
0.064204,0.001268,0.033418
0.066215,0.001308,0.034431
0.068196,0.001351,0.035400
0.070211,0.001421,0.036407
0.072209,0.001456,0.037348
0.074201,0.001464,0.038267
0.076219,0.001515,0.039212
0.078204,0.001539,0.040135
0.080209,0.001574,0.041072
0.082220,0.001614,0.042022
0.084199,0.001659,0.042965
0.086214,0.001711,0.043901
0.088206,0.001778,0.044766
0.090221,0.001787,0.045698
0.092203,0.001804,0.046562
0.095986,0.001907,0.048229
0.098242,0.001952,0.049180
0.100199,0.001961,0.050023
0.102199,0.001986,0.050935
0.104208,0.002058,0.051757
0.106197,0.002111,0.052585
0.108198,0.002153,0.053406
0.110213,0.002179,0.054278
0.112203,0.002259,0.055094
0.114223,0.002303,0.055921
0.116211,0.002340,0.056734
0.118206,0.002344,0.057559
0.120200,0.002351,0.058305
0.122202,0.002370,0.059124
0.124204,0.002397,0.059913
0.126202,0.002452,0.060642
0.128205,0.002506,0.061397
0.130198,0.002527,0.062149
0.132204,0.002599,0.062865
0.134211,0.002615,0.063556
0.136213,0.002595,0.064213
0.138227,0.002586,0.064845
0.140218,0.002671,0.065517
0.142199,0.002726,0.066212
0.144174,0.002762,0.066882
0.146206,0.002782,0.067545
0.148205,0.002806,0.068213
0.150202,0.002795,0.068863
0.152200,0.002812,0.069451
0.154211,0.002844,0.070048
0.156208,0.002863,0.070650
0.158324,0.002844,0.071264
0.160190,0.002808,0.071803
0.162201,0.002768,0.072368
0.164203,0.002790,0.072931
0.166209,0.002805,0.073481
0.168202,0.002784,0.074018
0.170198,0.002854,0.074587
0.172204,0.002862,0.075067
0.174210,0.002895,0.075577
0.176198,0.002904,0.076051
0.178202,0.002923,0.076503
0.180216,0.002944,0.076956
0.182202,0.002932,0.077345
0.184226,0.002935,0.077800
0.186200,0.002941,0.078215
0.188205,0.003009,0.078677
0.190201,0.002971,0.079017
0.192214,0.002991,0.079423
0.194334,0.002991,0.079792
0.196186,0.003001,0.080113
0.198224,0.003059,0.080456
0.200202,0.003073,0.080782
0.202213,0.003059,0.081045
0.204474,0.003193,0.081356
0.206169,0.003253,0.081549
0.208209,0.003234,0.081865
0.210199,0.003291,0.082097
0.212206,0.003340,0.082347
0.214209,0.003405,0.082555
0.216204,0.003418,0.082745
0.218207,0.003372,0.082968
0.220197,0.003360,0.083150
0.222887,0.003342,0.083414
0.224124,0.003318,0.083552
0.226220,0.003326,0.083688
0.228198,0.003383,0.083851
0.230201,0.003356,0.084010
0.232202,0.003257,0.084147
0.234203,0.003335,0.084296
0.236208,0.003380,0.084439
0.238258,0.003479,0.084515
0.240198,0.003518,0.084583
0.242200,0.003525,0.084601
0.244207,0.003554,0.084676
0.246199,0.003474,0.084624
0.249497,0.003481,0.084680
0.250036,0.003512,0.084710
0.252228,0.003545,0.084686
0.254195,0.003542,0.084571
0.256217,0.003535,0.084526
0.258235,0.003591,0.084450
0.260194,0.003566,0.084299
0.262206,0.003604,0.084203
0.264208,0.003624,0.084065
0.266219,0.003623,0.084027
0.268208,0.003615,0.083824
0.270209,0.003635,0.083662
0.272224,0.003597,0.083554
0.274197,0.003657,0.083353
0.276230,0.003726,0.083080
0.278207,0.003700,0.082838
0.280201,0.003772,0.082584
0.282201,0.003802,0.082408
0.284148,0.003812,0.082174
0.286079,0.003907,0.081935
0.288082,0.003932,0.081684
0.290216,0.004011,0.081392
0.292009,0.004018,0.081151
0.294146,0.004035,0.080841
0.296222,0.004012,0.080501
0.298201,0.003993,0.080232
0.300121,0.004085,0.079987
0.302208,0.004140,0.079696
0.304206,0.004182,0.079416
0.306088,0.004189,0.079113
0.308236,0.004092,0.078671
0.310201,0.004087,0.078299
0.312204,0.004087,0.077883
0.314200,0.004075,0.077458
0.316212,0.004073,0.077040
0.318211,0.004018,0.076542
0.320213,0.003956,0.076119
0.322194,0.003975,0.075692
0.324087,0.003995,0.075193
0.326232,0.004071,0.074762
0.328203,0.004078,0.074276
0.330208,0.004063,0.073661
0.332211,0.004091,0.073098
0.334205,0.004146,0.072551
0.336199,0.004110,0.071974
0.338264,0.004091,0.071376
0.340194,0.004118,0.070805
0.342208,0.004182,0.070143
0.344232,0.004155,0.069495
0.346202,0.004194,0.068848
0.348229,0.004175,0.068201
0.350202,0.004168,0.067604
0.352187,0.004172,0.066949
0.354216,0.004187,0.066236
0.356210,0.004195,0.065594
0.358196,0.004276,0.064861
0.360198,0.004261,0.064213
0.362278,0.004220,0.063466
0.364188,0.004183,0.062646
0.366214,0.004228,0.061932
0.368206,0.004205,0.061163
0.370206,0.004139,0.060451
0.372204,0.004109,0.059762
0.374212,0.004059,0.058880
0.376198,0.004055,0.058106
0.378198,0.004076,0.057307
0.380206,0.004103,0.056488
0.382200,0.004158,0.055674
0.384220,0.004094,0.054869
0.386196,0.004091,0.054041
0.388200,0.004068,0.053255
0.390209,0.004054,0.052438
0.392218,0.004026,0.051585
0.394204,0.004014,0.050755
0.396204,0.003989,0.049892
0.398227,0.003934,0.048962
0.400228,0.003932,0.048079
0.402195,0.003912,0.047135
0.404235,0.003948,0.046235
0.406203,0.003888,0.045415
0.408234,0.003916,0.044463
0.410262,0.003936,0.043575
0.412194,0.004025,0.042661
0.414303,0.004043,0.041644
0.416208,0.004031,0.040765
0.418212,0.004026,0.039819
0.420208,0.004072,0.038921
0.422199,0.003940,0.037917
0.424205,0.003924,0.036972
0.426213,0.003933,0.036066
0.428198,0.003849,0.035134
0.430201,0.003859,0.034236
0.432199,0.003865,0.033226
0.434244,0.003899,0.032196
0.436201,0.003924,0.031192
0.438206,0.003890,0.030174
0.440200,0.003837,0.029181
0.442195,0.003759,0.028135
0.444206,0.003847,0.027082
0.446216,0.003921,0.026015
0.448217,0.003940,0.024934
0.450236,0.003925,0.023932
0.452232,0.003976,0.022818
0.454187,0.004027,0.021854
0.456216,0.004136,0.020819
0.458220,0.004203,0.019650
0.460200,0.004162,0.018594
0.462141,0.004180,0.017616
0.464214,0.004163,0.016470
0.466089,0.004199,0.015500
0.468213,0.004188,0.014404
0.470203,0.004251,0.013359
0.472017,0.004166,0.012484
0.474057,0.004194,0.011440
0.476228,0.004213,0.010236
0.478227,0.004219,0.009131
0.480203,0.004197,0.008091
0.482212,0.004106,0.007081
0.484198,0.004153,0.006001
0.486219,0.004124,0.004867
0.488198,0.004153,0.003846
0.490232,0.004177,0.002768
0.492193,0.004184,0.001597
0.494204,0.004190,0.000452
0.496210,0.004173,-0.000654
0.498222,0.004282,-0.001663
0.500202,0.004339,-0.002641
0.502198,0.004437,-0.003732
0.504200,0.004386,-0.004780
0.506234,0.004365,-0.005967
0.508189,0.004355,-0.006992
0.510206,0.004288,-0.008106
0.512200,0.004266,-0.009128
0.514218,0.004196,-0.010197
0.516214,0.004165,-0.011248
0.518064,0.004194,-0.012246
0.520234,0.004145,-0.013378
0.522198,0.004058,-0.014486
0.524228,0.004053,-0.015569
0.526279,0.004076,-0.016617
0.528196,0.004142,-0.017707
0.530199,0.004082,-0.018770
0.532200,0.004028,-0.019870
0.534220,0.003983,-0.020935
0.536219,0.003958,-0.021984
0.538222,0.003958,-0.022973
0.540211,0.003937,-0.024032
0.542202,0.003964,-0.025073
0.544208,0.004023,-0.026097
0.546210,0.004024,-0.027127
0.548207,0.004046,-0.028180
0.550205,0.003966,-0.029176
0.552204,0.003894,-0.030242
0.554175,0.003877,-0.031240
0.556223,0.003951,-0.032236
0.558204,0.003930,-0.033292
0.560205,0.003885,-0.034289
0.562206,0.003867,-0.035449
0.564223,0.003812,-0.036433
0.566216,0.003758,-0.037386
0.568210,0.003770,-0.038347
0.570202,0.003799,-0.039375
0.572202,0.003814,-0.040319
0.574204,0.003766,-0.041271
0.576219,0.003775,-0.042297
0.578218,0.003808,-0.043306
0.580199,0.003801,-0.044222
0.582204,0.003716,-0.045125
0.584211,0.003689,-0.046092
0.586228,0.003665,-0.046933
0.588209,0.003723,-0.047929
0.590213,0.003719,-0.048880
0.592204,0.003717,-0.049786
0.594288,0.003679,-0.050662
0.596248,0.003589,-0.051619
0.598193,0.003575,-0.052445
0.600213,0.003638,-0.053346
0.602205,0.003624,-0.054184
0.604214,0.003693,-0.055152
0.606199,0.003721,-0.056083
0.608209,0.003631,-0.056904
0.610201,0.003593,-0.057842
0.612204,0.003618,-0.058701
0.614059,0.003577,-0.059442
0.616229,0.003546,-0.060295
0.618200,0.003501,-0.061086
0.620229,0.003466,-0.061878
0.622058,0.003406,-0.062635
0.624036,0.003359,-0.063407
0.626264,0.003437,-0.064210
0.628194,0.003417,-0.064888
0.630209,0.003395,-0.065680
0.632200,0.003385,-0.066506
0.634212,0.003326,-0.067268
0.636200,0.003336,-0.067986
0.638202,0.003315,-0.068636
0.640200,0.003248,-0.069378
0.642197,0.003281,-0.070092
0.644205,0.003256,-0.070822
0.646209,0.003277,-0.071479
0.648200,0.003269,-0.072177
0.650205,0.003363,-0.072876
0.652042,0.003361,-0.073495
0.654263,0.003336,-0.074144
0.656194,0.003392,-0.074759
0.658202,0.003363,-0.075269
0.660200,0.003359,-0.075887
0.662200,0.003315,-0.076510
0.664214,0.003373,-0.077069
0.666222,0.003419,-0.077581
0.668200,0.003483,-0.078036
0.670204,0.003377,-0.078492
0.672193,0.003460,-0.078967
0.674212,0.003413,-0.079392
0.676225,0.003418,-0.079910
0.678038,0.003410,-0.080363
0.680222,0.003418,-0.080800
0.682200,0.003350,-0.081199
0.684214,0.003249,-0.081624
0.686213,0.003197,-0.082002
0.688217,0.003172,-0.082386
0.690198,0.003060,-0.082735
0.692202,0.003145,-0.083013
0.694204,0.003160,-0.083452
0.696214,0.003141,-0.083840
0.698214,0.003199,-0.084186
0.700373,0.003188,-0.084634
0.702248,0.003196,-0.085033
0.704155,0.003156,-0.085375
0.706325,0.003223,-0.085743
0.708187,0.003173,-0.086064
0.710210,0.003231,-0.086362
0.712212,0.003267,-0.086560
0.714014,0.003316,-0.086806
0.716138,0.003326,-0.087085
0.718160,0.003178,-0.087313
0.720207,0.003162,-0.087529
0.722201,0.003075,-0.087736
0.724200,0.003031,-0.087954
0.726199,0.003045,-0.088135
0.728204,0.003007,-0.088342
0.730206,0.003053,-0.088444
0.732204,0.002935,-0.088534
0.734205,0.002945,-0.088650
0.736214,0.002904,-0.088790
0.738196,0.002980,-0.088904
0.740200,0.002883,-0.088927
0.742197,0.002995,-0.088847
0.744195,0.003051,-0.089005
0.746206,0.002961,-0.088957
0.748204,0.003029,-0.088924
0.750203,0.003004,-0.089066
0.752201,0.003034,-0.089040
0.754272,0.002958,-0.088924
0.756210,0.002885,-0.088887
0.758202,0.002929,-0.088837
0.760197,0.002919,-0.088767
0.762201,0.002942,-0.088759
0.764210,0.002882,-0.088743
0.766221,0.002985,-0.088561
0.768204,0.002939,-0.088436
0.770205,0.002874,-0.088252
0.772203,0.002922,-0.088108
0.774211,0.002913,-0.087998
0.776209,0.002918,-0.087899
0.778202,0.002905,-0.087706
0.780197,0.002861,-0.087540
0.782202,0.002916,-0.087350
0.784219,0.002918,-0.087167
0.786210,0.002837,-0.086952
0.788205,0.002814,-0.086709
0.790221,0.002853,-0.086432
0.792205,0.002911,-0.086142
0.794219,0.002994,-0.085871
0.796196,0.002974,-0.085560
0.798206,0.002955,-0.085216
0.800213,0.002962,-0.084783
0.802204,0.002965,-0.084477
0.804225,0.002929,-0.084081
0.806214,0.002911,-0.083618
0.808199,0.002914,-0.083196
0.810204,0.002997,-0.082843
0.812203,0.003027,-0.082418
0.814207,0.003034,-0.082076
0.816211,0.002974,-0.081544
0.818206,0.003023,-0.081016
0.820193,0.003044,-0.080517
0.822201,0.002969,-0.080056
0.824205,0.002959,-0.079580
0.826220,0.002965,-0.079122
0.828211,0.002874,-0.078562
0.830197,0.002812,-0.078025
0.832203,0.002944,-0.077493
0.834209,0.003013,-0.076908
0.836227,0.003066,-0.076246
0.838200,0.003140,-0.075629
0.840199,0.003144,-0.075019
0.842197,0.003137,-0.074407
0.844232,0.003153,-0.073682
0.846371,0.003230,-0.073031
0.848184,0.003183,-0.072508
0.850226,0.003142,-0.071828
0.852196,0.003158,-0.071218
0.854217,0.003226,-0.070622
0.856224,0.003103,-0.069867
0.858197,0.003206,-0.069189
0.860165,0.003256,-0.068556
0.862439,0.003278,-0.067674
0.864224,0.003240,-0.066962
0.866128,0.003340,-0.066361
0.868216,0.003398,-0.065639
0.870151,0.003366,-0.064887
0.872046,0.003356,-0.064190
0.874234,0.003368,-0.063282
0.876211,0.003358,-0.062455
0.878207,0.003367,-0.061669
0.880204,0.003366,-0.060805
0.882198,0.003399,-0.059945
0.884247,0.003369,-0.059175
0.886206,0.003251,-0.058405
0.888202,0.003241,-0.057550
0.890208,0.003221,-0.056759
0.892240,0.003146,-0.055910
0.894072,0.003199,-0.055113
0.896222,0.003166,-0.054255
0.898188,0.003148,-0.053301
0.900182,0.003205,-0.052561
0.902038,0.003353,-0.051714
0.904224,0.003368,-0.050701
0.906197,0.003300,-0.049795
0.908204,0.003255,-0.048790
0.910208,0.003228,-0.047870
0.912201,0.003273,-0.046863
0.914224,0.003340,-0.045861
0.916210,0.003404,-0.044919
0.918207,0.003432,-0.043835
0.920215,0.003506,-0.042919
0.922293,0.003464,-0.041905
0.924205,0.003558,-0.040958
0.926060,0.003570,-0.040025
0.928226,0.003565,-0.038943
0.930122,0.003390,-0.037881
0.932057,0.003431,-0.036923
0.934120,0.003386,-0.035891
0.936045,0.003402,-0.035015
0.938225,0.003295,-0.033864
0.940221,0.003276,-0.032806
0.942210,0.003332,-0.031725
0.944206,0.003391,-0.030768
0.946223,0.003316,-0.029673
0.948258,0.003273,-0.028541
0.950062,0.003298,-0.027747
0.952215,0.003427,-0.026615
0.954214,0.003420,-0.025525
0.956203,0.003411,-0.024468
0.958063,0.003485,-0.023572
0.960226,0.003419,-0.022363
0.962212,0.003379,-0.021393
0.963986,0.003347,-0.020489
0.966241,0.003446,-0.019193
0.968203,0.003515,-0.018172
0.970210,0.003452,-0.017025
0.972012,0.003399,-0.015959
0.974232,0.003304,-0.014718
0.976213,0.003277,-0.013699
0.978253,0.003205,-0.012542
0.980233,0.003222,-0.011471
0.982153,0.003229,-0.010432
0.984208,0.003077,-0.009346
0.986211,0.003117,-0.008302
0.988197,0.003062,-0.007208
0.990215,0.003059,-0.006137
0.992214,0.003098,-0.005026
0.994197,0.003129,-0.003848
0.996200,0.003207,-0.002726
0.998007,0.003171,-0.001760
1.000233,0.003148,-0.000501
1.002206,0.003067,0.000581
1.004225,0.003072,0.001711
1.006208,0.003077,0.002843
1.008199,0.002944,0.004011
1.010229,0.002919,0.005103
1.012198,0.002879,0.006311
